,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
1,1.0,1.0,0.11,6279.0,680.0,65000.0,2019.0,41.897267,-72.251848,6.0
2,3.0,2.0,11.1,6279.0,1152.0,82900.0,2008.0,41.897267,-72.251848,6.0
10,3.0,2.0,1.34,6279.0,960.0,170000.0,2015.0,41.897267,-72.251848,6.0
11,4.0,2.0,2.57,6279.0,1646.0,340000.0,2019.0,41.897267,-72.251848,6.0
12,3.0,2.0,35.86,6279.0,1152.0,196700.0,2000.0,41.897267,-72.251848,6.0
14,3.0,2.0,1.8,6279.0,1412.0,309900.0,2004.0,41.897267,-72.251848,6.0
19,3.0,2.0,2.24,6279.0,1002.0,229000.0,1999.0,41.897267,-72.251848,6.0
20,4.0,3.0,2.34,6238.0,3320.0,579900.0,2021.0,41.780138,-72.343943,6.0
22,2.0,1.0,0.11,6238.0,963.0,89000.0,2018.0,41.780138,-72.343943,6.0
23,3.0,2.0,5.49,6238.0,1288.0,164900.0,2021.0,41.780138,-72.343943,6.0
24,5.0,2.0,0.63,6238.0,1666.0,259900.0,2001.0,41.780138,-72.343943,6.0
29,7.0,6.0,5.51,6238.0,5060.0,669000.0,2001.0,41.780138,-72.343943,6.0
30,3.0,2.0,1.24,6238.0,4514.0,525000.0,2009.0,41.780138,-72.343943,6.0
31,3.0,1.0,0.34,6238.0,1104.0,199999.0,2017.0,41.780138,-72.343943,6.0
32,3.0,3.0,1.02,6238.0,1201.0,349000.0,2005.0,41.780138,-72.343943,6.0
35,4.0,3.0,1.72,6238.0,2313.0,519900.0,2020.0,41.780138,-72.343943,6.0
36,4.0,3.0,1.42,6238.0,2518.0,549900.0,2020.0,41.780138,-72.343943,6.0
37,2.0,1.0,0.34,6238.0,1056.0,199900.0,2020.0,41.780138,-72.343943,6.0
38,3.0,3.0,0.96,6238.0,1540.0,299900.0,2007.0,41.780138,-72.343943,6.0
39,3.0,1.0,0.34,6238.0,992.0,244900.0,2021.0,41.780138,-72.343943,6.0
40,2.0,1.0,0.11,6238.0,667.0,179500.0,2000.0,41.780138,-72.343943,6.0
42,3.0,3.0,2.59,6238.0,1800.0,384900.0,2021.0,41.780138,-72.343943,6.0
43,4.0,3.0,2.59,6238.0,2654.0,574900.0,2020.0,41.780138,-72.343943,6.0
46,3.0,3.0,1.01,6238.0,2161.0,399900.0,2021.0,41.780138,-72.343943,6.0
47,1.0,1.0,1.51,6238.0,928.0,199900.0,2020.0,41.780138,-72.343943,6.0
49,3.0,1.0,0.23,6238.0,1258.0,174000.0,2018.0,41.780138,-72.343943,6.0
50,3.0,3.0,6.23,6238.0,1531.0,299900.0,2021.0,41.780138,-72.343943,6.0
51,2.0,1.0,1.99,6238.0,1120.0,239900.0,1996.0,41.780138,-72.343943,6.0
52,3.0,2.0,1.52,6238.0,1600.0,349900.0,2019.0,41.780138,-72.343943,6.0
53,3.0,2.0,1.45,6238.0,1414.0,294900.0,2002.0,41.780138,-72.343943,6.0
54,3.0,2.0,0.23,6238.0,1748.0,299900.0,2010.0,41.780138,-72.343943,6.0
55,3.0,2.0,3.2,6238.0,1730.0,379900.0,2021.0,41.780138,-72.343943,6.0
56,6.0,2.0,0.1,6238.0,3652.0,300000.0,1988.0,41.780138,-72.343943,6.0
58,2.0,2.0,2.29,6238.0,896.0,219900.0,2006.0,41.780138,-72.343943,6.0
60,3.0,3.0,5.06,6238.0,1396.0,334900.0,2015.0,41.780138,-72.343943,6.0
65,4.0,2.0,2.31,6238.0,1632.0,324900.0,2006.0,41.780138,-72.343943,6.0
67,2.0,2.0,0.11,6238.0,1230.0,154900.0,2011.0,41.780138,-72.343943,6.0
68,3.0,2.0,1.26,6238.0,1309.0,329000.0,2017.0,41.780138,-72.343943,6.0
71,3.0,3.0,0.11,6238.0,1897.0,349900.0,2005.0,41.780138,-72.343943,6.0
