,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
2,2.0,2.0,0.11,1001.0,892.0,169900.0,2019.0,42.062368,-72.625754,9.0
6,3.0,3.0,0.45,1001.0,2314.0,525000.0,2014.0,42.062368,-72.625754,9.0
7,3.0,2.0,0.36,1001.0,1276.0,289900.0,2012.0,42.062368,-72.625754,9.0
8,2.0,3.0,0.11,1001.0,1229.0,239900.0,2016.0,42.062368,-72.625754,9.0
9,2.0,1.0,0.11,1001.0,860.0,249900.0,1997.0,42.062368,-72.625754,9.0
13,3.0,2.0,0.46,1001.0,1476.0,384900.0,1986.0,42.062368,-72.625754,9.0
14,2.0,2.0,0.11,1001.0,1056.0,175000.0,2019.0,42.062368,-72.625754,9.0
15,2.0,2.0,0.11,1001.0,960.0,195000.0,2018.0,42.062368,-72.625754,9.0
19,3.0,2.0,1.76,1001.0,1968.0,199999.0,2008.0,42.062368,-72.625754,9.0
22,4.0,2.0,2.0,1002.0,1607.0,419000.0,2005.0,42.364061,-72.458739,1.0
28,4.0,3.0,0.56,1002.0,2847.0,745000.0,1992.0,42.364061,-72.458739,1.0
30,4.0,4.0,1.5,1002.0,4366.0,875000.0,1996.0,42.364061,-72.458739,1.0
31,4.0,4.0,0.77,1002.0,3879.0,699900.0,1993.0,42.364061,-72.458739,1.0
32,3.0,2.0,0.16,1002.0,1280.0,275000.0,2021.0,42.364061,-72.458739,1.0
37,4.0,2.0,0.49,1002.0,1814.0,415000.0,1997.0,42.364061,-72.458739,1.0
38,2.0,1.0,0.11,1002.0,899.0,232000.0,2021.0,42.364061,-72.458739,1.0
39,3.0,2.0,0.5,1002.0,1128.0,390000.0,1998.0,42.364061,-72.458739,1.0
40,4.0,3.0,0.65,1002.0,3465.0,865000.0,2006.0,42.364061,-72.458739,1.0
41,4.0,3.0,0.46,1002.0,2143.0,499900.0,1988.0,42.364061,-72.458739,1.0
42,4.0,3.0,0.11,1002.0,3200.0,619900.0,2020.0,42.364061,-72.458739,1.0
43,5.0,4.0,0.64,1002.0,2363.0,650000.0,2004.0,42.364061,-72.458739,1.0
46,2.0,2.0,0.11,1002.0,979.0,234900.0,2021.0,42.364061,-72.458739,1.0
47,3.0,4.0,3.04,1002.0,2074.0,975000.0,2006.0,42.364061,-72.458739,1.0
48,3.0,2.0,0.2,1002.0,1349.0,439900.0,2005.0,42.364061,-72.458739,1.0
57,2.0,2.0,0.51,1033.0,2000.0,397000.0,2001.0,42.244949,-72.500143,9.0
58,4.0,2.0,0.56,1033.0,1523.0,324900.0,2007.0,42.244949,-72.500143,9.0
71,4.0,5.0,1.02,1033.0,2396.0,500000.0,2015.0,42.244949,-72.500143,9.0
75,3.0,2.0,0.54,1033.0,1336.0,325000.0,2019.0,42.244949,-72.500143,9.0
76,3.0,2.0,0.53,1033.0,880.0,299900.0,2018.0,42.244949,-72.500143,9.0
85,1.0,2.0,0.53,1301.0,3792.0,299900.0,2008.0,42.626761,-72.60153,1.0
86,3.0,2.0,0.29,1301.0,960.0,77500.0,2013.0,42.626761,-72.60153,1.0
87,1.0,1.0,0.29,1301.0,640.0,184900.0,1988.0,42.626761,-72.60153,1.0
88,2.0,1.0,0.22,1301.0,816.0,215000.0,1993.0,42.626761,-72.60153,1.0
90,3.0,1.0,0.29,1301.0,1482.0,275000.0,2001.0,42.626761,-72.60153,1.0
91,3.0,2.0,1.07,1301.0,1100.0,340000.0,2006.0,42.626761,-72.60153,1.0
93,8.0,4.0,0.14,1301.0,4192.0,299900.0,2011.0,42.626761,-72.60153,1.0
95,2.0,1.0,0.27,1301.0,1200.0,235000.0,2006.0,42.626761,-72.60153,1.0
97,3.0,1.0,0.15,1301.0,1416.0,235000.0,1998.0,42.626761,-72.60153,1.0
104,3.0,2.0,0.14,1062.0,1728.0,499000.0,2003.0,42.328308,-72.703924,1.0
109,3.0,2.0,0.25,1062.0,1609.0,425000.0,2004.0,42.328308,-72.703924,1.0
111,2.0,1.0,0.5,1062.0,1072.0,399999.0,1999.0,42.328308,-72.703924,1.0
125,4.0,2.0,0.13,1151.0,1644.0,229900.0,1987.0,42.15186,-72.509131,9.0
126,3.0,2.0,0.55,1151.0,1365.0,249900.0,1979.0,42.15186,-72.509131,9.0
127,6.0,3.0,0.36,1151.0,3048.0,350000.0,1993.0,42.15186,-72.509131,9.0
129,3.0,2.0,0.14,1151.0,1799.0,299000.0,2021.0,42.15186,-72.509131,9.0
131,2.0,2.0,0.92,1093.0,1723.0,389900.0,1997.0,42.441943,-72.661817,1.0
134,4.0,3.0,3.8,1375.0,2768.0,459900.0,2009.0,42.466691,-72.546751,1.0
135,4.0,3.0,0.29,1020.0,1514.0,249900.0,1996.0,42.172602,-72.562073,9.0
140,5.0,2.0,0.15,1020.0,2316.0,289900.0,2020.0,42.172602,-72.562073,9.0
142,4.0,2.0,0.13,1020.0,1596.0,249987.0,2007.0,42.172602,-72.562073,9.0
144,3.0,1.0,0.26,1020.0,1048.0,199900.0,2005.0,42.172602,-72.562073,9.0
146,6.0,4.0,0.16,1020.0,2844.0,300000.0,2019.0,42.172602,-72.562073,9.0
147,3.0,3.0,0.11,1020.0,1440.0,279000.0,2008.0,42.172602,-72.562073,9.0
148,2.0,2.0,0.11,1020.0,1280.0,215000.0,1999.0,42.172602,-72.562073,9.0
150,2.0,2.0,0.11,1020.0,1280.0,215000.0,2005.0,42.172602,-72.562073,9.0
153,3.0,2.0,0.2,1020.0,1584.0,299900.0,2020.0,42.172602,-72.562073,9.0
154,3.0,1.0,0.15,1020.0,1170.0,219000.0,2008.0,42.172602,-72.562073,9.0
155,2.0,1.0,0.11,1020.0,960.0,145000.0,2019.0,42.172602,-72.562073,9.0
156,4.0,2.0,0.16,1020.0,1280.0,375000.0,2020.0,42.172602,-72.562073,9.0
159,6.0,2.0,0.13,1020.0,2288.0,294900.0,2019.0,42.172602,-72.562073,9.0
161,3.0,2.0,0.21,1020.0,1336.0,380000.0,2006.0,42.172602,-72.562073,9.0
162,3.0,2.0,1.02,1007.0,1617.0,364900.0,2001.0,42.27901,-72.400468,9.0
163,1.0,1.0,0.31,1007.0,640.0,215000.0,2000.0,42.27901,-72.400468,9.0
164,2.0,1.0,0.11,1007.0,864.0,229900.0,2021.0,42.27901,-72.400468,9.0
165,2.0,1.0,0.6,1007.0,802.0,169999.0,2009.0,42.27901,-72.400468,9.0
166,5.0,3.0,0.32,1007.0,1850.0,299900.0,2012.0,42.27901,-72.400468,9.0
173,3.0,3.0,1.08,1007.0,2360.0,435000.0,2009.0,42.27901,-72.400468,9.0
175,2.0,3.0,30.0,1007.0,2130.0,330000.0,2013.0,42.27901,-72.400468,9.0
181,2.0,2.0,0.11,1007.0,1190.0,329900.0,2018.0,42.27901,-72.400468,9.0
205,3.0,2.0,0.94,1007.0,960.0,100000.0,2021.0,42.27901,-72.400468,9.0
206,2.0,1.0,0.28,1013.0,1207.0,240000.0,2011.0,42.154904,-72.602804,9.0
209,2.0,2.0,0.05,1013.0,1200.0,275000.0,2002.0,42.154904,-72.602804,9.0
216,4.0,2.0,0.17,1013.0,2030.0,195500.0,1996.0,42.154904,-72.602804,9.0
219,4.0,2.0,0.11,1013.0,1872.0,259900.0,2004.0,42.154904,-72.602804,9.0
221,2.0,2.0,0.11,1013.0,936.0,130000.0,2008.0,42.154904,-72.602804,9.0
222,3.0,2.0,0.27,1013.0,1265.0,259900.0,2000.0,42.154904,-72.602804,9.0
226,2.0,1.0,0.4,1075.0,1034.0,224900.0,1996.0,42.256208,-72.58103,9.0
227,4.0,2.0,0.3,1075.0,2112.0,295000.0,2001.0,42.256208,-72.58103,9.0
229,5.0,2.0,1.85,1075.0,4510.0,759000.0,2005.0,42.256208,-72.58103,9.0
230,2.0,1.0,0.25,1075.0,800.0,110000.0,2004.0,42.256208,-72.58103,9.0
231,3.0,3.0,0.1,1075.0,1781.0,219900.0,2009.0,42.256208,-72.58103,9.0
232,4.0,3.0,0.46,1075.0,2108.0,400000.0,2021.0,42.256208,-72.58103,9.0
234,5.0,2.0,0.85,1075.0,1605.0,379900.0,2017.0,42.256208,-72.58103,9.0
236,2.0,2.0,0.23,1075.0,1210.0,199900.0,2004.0,42.256208,-72.58103,9.0
237,4.0,4.0,0.91,1075.0,2420.0,547500.0,2012.0,42.256208,-72.58103,9.0
242,6.0,7.0,4.52,1075.0,6250.0,1500000.0,2005.0,42.256208,-72.58103,9.0
244,2.0,2.0,0.11,1075.0,1758.0,415000.0,2019.0,42.256208,-72.58103,9.0
252,4.0,5.0,7.81,1035.0,7000.0,1295000.0,1997.0,42.356491,-72.568632,1.0
254,4.0,2.0,0.59,1035.0,2394.0,439500.0,2018.0,42.356491,-72.568632,1.0
255,5.0,4.0,0.72,1035.0,4468.0,995000.0,1998.0,42.356491,-72.568632,1.0
260,3.0,2.0,0.16,1104.0,1284.0,240000.0,2011.0,42.134009,-72.565378,9.0
262,3.0,3.0,0.14,1104.0,1588.0,289900.0,2005.0,42.134009,-72.565378,9.0
263,2.0,1.0,0.12,1104.0,864.0,195000.0,1994.0,42.134009,-72.565378,9.0
265,3.0,1.0,0.09,1104.0,1303.0,150000.0,1998.0,42.134009,-72.565378,9.0
