,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
1,4.0,2.0,0.26,8016.0,1764.0,279000.0,2018.0,40.069522,-74.824196,11.0
2,3.0,2.0,0.22,8016.0,1988.0,299000.0,2016.0,40.069522,-74.824196,11.0
3,3.0,2.0,0.2,8016.0,1764.0,275000.0,2020.0,40.069522,-74.824196,11.0
4,5.0,2.0,0.05,8016.0,2104.0,219900.0,2007.0,40.069522,-74.824196,11.0
5,3.0,1.0,0.28,8016.0,1085.0,259000.0,2016.0,40.069522,-74.824196,11.0
7,4.0,2.0,1.17,8016.0,2538.0,299904.0,2013.0,40.069522,-74.824196,11.0
9,4.0,3.0,0.49,8016.0,2224.0,525000.0,2006.0,40.069522,-74.824196,11.0
10,3.0,3.0,0.11,8016.0,1636.0,250000.0,2014.0,40.069522,-74.824196,11.0
11,3.0,2.0,0.04,8016.0,2388.0,100000.0,2008.0,40.069522,-74.824196,11.0
16,4.0,1.0,0.03,8016.0,1680.0,179000.0,2007.0,40.069522,-74.824196,11.0
23,3.0,2.0,0.03,8016.0,1466.0,110000.0,2021.0,40.069522,-74.824196,11.0
24,3.0,3.0,0.07,8016.0,1500.0,348990.0,2021.0,40.069522,-74.824196,11.0
25,3.0,3.0,0.07,8016.0,1500.0,345490.0,2021.0,40.069522,-74.824196,11.0
26,4.0,2.0,0.1,8016.0,1600.0,214990.0,2020.0,40.069522,-74.824196,11.0
27,3.0,3.0,0.07,8016.0,1500.0,361990.0,2021.0,40.069522,-74.824196,11.0
28,4.0,3.0,0.24,8016.0,1730.0,369900.0,1999.0,40.069522,-74.824196,11.0
29,3.0,3.0,0.05,8016.0,1500.0,349990.0,2021.0,40.069522,-74.824196,11.0
30,3.0,3.0,0.07,8016.0,1500.0,356990.0,2021.0,40.069522,-74.824196,11.0
31,3.0,3.0,0.07,8016.0,1500.0,363990.0,2021.0,40.069522,-74.824196,11.0
32,3.0,3.0,0.07,8016.0,1500.0,371990.0,2021.0,40.069522,-74.824196,11.0
33,3.0,3.0,0.07,8016.0,1500.0,369995.0,2021.0,40.069522,-74.824196,11.0
36,3.0,2.0,0.15,8016.0,2057.0,175000.0,2021.0,40.069522,-74.824196,11.0
41,2.0,1.0,0.01,8016.0,884.0,85000.0,2018.0,40.069522,-74.824196,11.0
42,3.0,1.0,0.03,8016.0,1270.0,95000.0,2018.0,40.069522,-74.824196,11.0
43,5.0,2.0,0.06,8016.0,1626.0,140000.0,2019.0,40.069522,-74.824196,11.0
44,6.0,2.0,0.07,8016.0,2722.0,125000.0,2018.0,40.069522,-74.824196,11.0
46,3.0,1.0,0.04,8016.0,960.0,189000.0,2021.0,40.069522,-74.824196,11.0
47,3.0,2.0,0.02,8016.0,1490.0,292900.0,2017.0,40.069522,-74.824196,11.0
48,3.0,1.0,0.04,8016.0,960.0,184000.0,2021.0,40.069522,-74.824196,11.0
49,2.0,1.0,0.05,8016.0,1249.0,189900.0,2006.0,40.069522,-74.824196,11.0
51,4.0,2.0,0.11,8016.0,1596.0,220000.0,1999.0,40.069522,-74.824196,11.0
52,3.0,3.0,0.12,8016.0,1694.0,389900.0,2017.0,40.069522,-74.824196,11.0
56,3.0,2.0,0.09,8016.0,1500.0,102000.0,2020.0,40.069522,-74.824196,11.0
57,4.0,2.0,0.05,8016.0,1864.0,150000.0,2001.0,40.069522,-74.824196,11.0
58,3.0,1.0,0.11,8016.0,1366.0,230000.0,2018.0,40.069522,-74.824196,11.0
59,3.0,1.0,0.03,8016.0,1056.0,130000.0,2010.0,40.069522,-74.824196,11.0
60,2.0,1.0,0.09,8016.0,969.0,120000.0,2018.0,40.069522,-74.824196,11.0
61,4.0,3.0,0.22,8016.0,2532.0,485000.0,2001.0,40.069522,-74.824196,11.0
62,1.0,2.0,0.12,8016.0,1750.0,239500.0,2019.0,40.069522,-74.824196,11.0
63,4.0,2.0,0.22,8016.0,1085.0,250000.0,2007.0,40.069522,-74.824196,11.0
66,3.0,2.0,0.04,8016.0,1618.0,105000.0,2021.0,40.069522,-74.824196,11.0
67,3.0,2.0,0.55,8016.0,1560.0,255000.0,2013.0,40.069522,-74.824196,11.0
68,5.0,3.0,0.28,8016.0,2468.0,465000.0,2022.0,40.069522,-74.824196,11.0
69,3.0,2.0,0.09,8016.0,1244.0,199900.0,2018.0,40.069522,-74.824196,11.0
70,2.0,1.0,0.11,8016.0,976.0,107000.0,2019.0,40.069522,-74.824196,11.0
71,4.0,3.0,0.12,8016.0,1913.0,450000.0,2019.0,40.069522,-74.824196,11.0
72,3.0,2.0,0.23,8016.0,1790.0,330000.0,2019.0,40.069522,-74.824196,11.0
73,4.0,2.0,0.17,8016.0,1740.0,325000.0,2007.0,40.069522,-74.824196,11.0
74,3.0,3.0,0.19,8016.0,1467.0,350000.0,1995.0,40.069522,-74.824196,11.0
75,3.0,3.0,0.19,8016.0,1365.0,400000.0,1998.0,40.069522,-74.824196,11.0
76,4.0,1.0,0.04,8016.0,1848.0,130000.0,2015.0,40.069522,-74.824196,11.0
78,3.0,1.0,0.09,8016.0,1376.0,225000.0,2021.0,40.069522,-74.824196,11.0
79,3.0,2.0,0.04,8016.0,1448.0,130000.0,2014.0,40.069522,-74.824196,11.0
81,3.0,2.0,0.17,8016.0,1480.0,299900.0,2017.0,40.069522,-74.824196,11.0
83,3.0,3.0,0.14,8016.0,1895.0,389000.0,2018.0,40.069522,-74.824196,11.0
84,6.0,2.0,0.22,8016.0,2552.0,259900.0,2015.0,40.069522,-74.824196,11.0
85,3.0,3.0,0.27,8016.0,2208.0,410000.0,1994.0,40.069522,-74.824196,11.0
86,3.0,1.0,0.11,8016.0,1308.0,245000.0,2018.0,40.069522,-74.824196,11.0
87,3.0,2.0,0.09,8016.0,1248.0,230000.0,2014.0,40.069522,-74.824196,11.0
88,4.0,3.0,0.29,8016.0,2085.0,451000.0,2000.0,40.069522,-74.824196,11.0
89,3.0,3.0,0.06,8016.0,1980.0,349900.0,1995.0,40.069522,-74.824196,11.0
91,3.0,4.0,0.11,8016.0,1886.0,305000.0,2019.0,40.069522,-74.824196,11.0
92,3.0,1.0,0.03,8016.0,1269.0,107000.0,1992.0,40.069522,-74.824196,11.0
93,3.0,2.0,0.19,8016.0,1842.0,299900.0,1999.0,40.069522,-74.824196,11.0
94,3.0,2.0,0.81,8016.0,1554.0,299000.0,2018.0,40.069522,-74.824196,11.0
96,4.0,1.0,0.23,8016.0,1685.0,249900.0,2007.0,40.069522,-74.824196,11.0
97,4.0,3.0,0.22,8016.0,2096.0,475000.0,2004.0,40.069522,-74.824196,11.0
98,4.0,3.0,0.19,8016.0,2380.0,450000.0,2019.0,40.069522,-74.824196,11.0
99,4.0,3.0,0.13,8016.0,1840.0,328000.0,2019.0,40.069522,-74.824196,11.0
100,4.0,1.0,0.28,8016.0,1176.0,149900.0,2018.0,40.069522,-74.824196,11.0
101,4.0,1.0,0.1,8016.0,1291.0,199000.0,2021.0,40.069522,-74.824196,11.0
102,3.0,1.0,0.08,8016.0,1412.0,265000.0,2021.0,40.069522,-74.824196,11.0
103,3.0,2.0,0.13,8016.0,1286.0,375000.0,1995.0,40.069522,-74.824196,11.0
105,3.0,2.0,0.22,8016.0,1198.0,250000.0,2005.0,40.069522,-74.824196,11.0
106,5.0,2.0,0.04,8016.0,1694.0,199900.0,2021.0,40.069522,-74.824196,11.0
107,3.0,3.0,0.35,8016.0,2268.0,400000.0,2013.0,40.069522,-74.824196,11.0
