,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
5,3.0,2.0,0.22,12022.0,1800.0,166900.0,2018.0,42.656951,-73.333851,12.0
6,3.0,2.0,2.02,12521.0,1600.0,425000.0,2021.0,42.171335,-73.650487,19.0
7,4.0,2.0,0.24,12521.0,1239.0,225000.0,2018.0,42.171335,-73.650487,19.0
15,4.0,4.0,1.56,12521.0,3100.0,2100000.0,1997.0,42.171335,-73.650487,19.0
16,5.0,3.0,0.52,12521.0,2400.0,340000.0,2000.0,42.171335,-73.650487,19.0
18,4.0,3.0,1.9,12521.0,1704.0,325000.0,2003.0,42.171335,-73.650487,19.0
19,3.0,2.0,3.79,12521.0,1560.0,399000.0,2015.0,42.171335,-73.650487,19.0
22,3.0,3.0,0.09,12521.0,1320.0,995000.0,2020.0,42.171335,-73.650487,19.0
25,3.0,3.0,5.0,12521.0,2517.0,895000.0,2017.0,42.171335,-73.650487,19.0
26,4.0,2.0,84.95,12521.0,1594.0,849000.0,1997.0,42.171335,-73.650487,19.0
30,4.0,1.0,4.2,12516.0,1500.0,299999.0,2006.0,42.106275,-73.563583,19.0
31,3.0,2.0,0.34,12516.0,1200.0,32900.0,2009.0,42.106275,-73.563583,19.0
43,4.0,2.0,0.69,12516.0,1800.0,265000.0,2011.0,42.106275,-73.563583,19.0
45,5.0,5.0,5.5,12516.0,3380.0,1695000.0,2006.0,42.106275,-73.563583,19.0
49,3.0,2.0,0.64,12516.0,1092.0,475000.0,2007.0,42.106275,-73.563583,19.0
51,3.0,2.0,0.26,12516.0,1500.0,450000.0,1998.0,42.106275,-73.563583,19.0
52,3.0,1.0,0.14,12516.0,1008.0,365000.0,2000.0,42.106275,-73.563583,19.0
53,3.0,1.0,0.14,12516.0,1008.0,359000.0,2000.0,42.106275,-73.563583,19.0
57,3.0,2.0,0.23,12516.0,1136.0,279000.0,2017.0,42.106275,-73.563583,19.0
66,3.0,2.0,4.25,12517.0,1512.0,790000.0,1999.0,42.114296,-73.507454,19.0
68,4.0,2.0,5.2,12517.0,2029.0,625000.0,2019.0,42.114296,-73.507454,19.0
71,4.0,2.0,5.2,12517.0,2029.0,599000.0,2019.0,42.114296,-73.507454,19.0
72,3.0,2.0,2.9,12529.0,1404.0,374900.0,2005.0,42.198626,-73.542777,19.0
75,3.0,2.0,19.7,12529.0,1200.0,625000.0,2021.0,42.198626,-73.542777,19.0
76,3.0,2.0,18.9,12529.0,1200.0,499000.0,2015.0,42.198626,-73.542777,19.0
82,3.0,2.0,19.68,12529.0,1200.0,350000.0,2008.0,42.198626,-73.542777,19.0
84,4.0,2.0,6.9,12529.0,1900.0,329000.0,2003.0,42.198626,-73.542777,19.0
86,4.0,5.0,18.5,12529.0,3024.0,1575000.0,1996.0,42.198626,-73.542777,19.0
