,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
1,4.0,2.0,0.26,8016.0,1764.0,2018-07-17,279000.0,2018,40.069522,-74.824196,9
2,3.0,2.0,0.22,8016.0,1988.0,2016-10-24,299000.0,2016,40.069522,-74.824196,9
3,3.0,2.0,0.2,8016.0,1764.0,2020-08-23,275000.0,2020,40.069522,-74.824196,9
4,5.0,2.0,0.05,8016.0,2104.0,2007-01-24,219900.0,2007,40.069522,-74.824196,9
5,3.0,1.0,0.28,8016.0,1085.0,2016-11-02,259000.0,2016,40.069522,-74.824196,9
7,4.0,2.0,1.17,8016.0,2538.0,2013-01-04,299904.0,2013,40.069522,-74.824196,9
9,4.0,3.0,0.49,8016.0,2224.0,2006-05-05,525000.0,2006,40.069522,-74.824196,9
10,3.0,3.0,0.11,8016.0,1636.0,2014-10-07,250000.0,2014,40.069522,-74.824196,9
11,3.0,2.0,0.04,8016.0,2388.0,2008-01-14,100000.0,2008,40.069522,-74.824196,9
16,4.0,1.0,0.03,8016.0,1680.0,2007-02-02,179000.0,2007,40.069522,-74.824196,9
23,3.0,2.0,0.03,8016.0,1466.0,2021-09-30,110000.0,2021,40.069522,-74.824196,9
24,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,348990.0,2021,40.069522,-74.824196,9
25,3.0,3.0,0.07,8016.0,1500.0,2021-08-06,345490.0,2021,40.069522,-74.824196,9
26,4.0,2.0,0.1,8016.0,1600.0,2020-07-27,214990.0,2020,40.069522,-74.824196,9
27,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,361990.0,2021,40.069522,-74.824196,9
28,4.0,3.0,0.24,8016.0,1730.0,1999-05-14,369900.0,1999,40.069522,-74.824196,9
29,3.0,3.0,0.05,8016.0,1500.0,2021-09-24,349990.0,2021,40.069522,-74.824196,9
30,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,356990.0,2021,40.069522,-74.824196,9
31,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,363990.0,2021,40.069522,-74.824196,9
32,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,371990.0,2021,40.069522,-74.824196,9
33,3.0,3.0,0.07,8016.0,1500.0,2021-09-24,369995.0,2021,40.069522,-74.824196,9
36,3.0,2.0,0.15,8016.0,2057.0,2021-09-10,175000.0,2021,40.069522,-74.824196,9
41,2.0,1.0,0.01,8016.0,884.0,2018-07-26,85000.0,2018,40.069522,-74.824196,9
42,3.0,1.0,0.03,8016.0,1270.0,2018-12-28,95000.0,2018,40.069522,-74.824196,9
43,5.0,2.0,0.06,8016.0,1626.0,2019-03-18,140000.0,2019,40.069522,-74.824196,9
