,bed,bath,acre_lot,zip_code,house_size,price,prev_sold_year,latitude,longitude,county
8,3.0,3.0,1.41,19073.0,2800.0,848000.0,1989.0,39.983259,-75.429241,17.0
9,4.0,3.0,0.57,19073.0,2885.0,439900.0,2006.0,39.983259,-75.429241,17.0
12,3.0,3.0,0.03,19073.0,2338.0,394000.0,2010.0,39.983259,-75.429241,17.0
15,3.0,4.0,0.11,19073.0,3382.0,599900.0,1993.0,39.983259,-75.429241,17.0
17,3.0,4.0,0.04,19073.0,2864.0,449999.0,2003.0,39.983259,-75.429241,17.0
20,4.0,2.0,0.29,19073.0,1850.0,375000.0,2022.0,39.983259,-75.429241,17.0
24,3.0,1.0,0.85,19073.0,1125.0,399972.0,2017.0,39.983259,-75.429241,17.0
25,4.0,3.0,0.82,19073.0,3498.0,770000.0,1992.0,39.983259,-75.429241,17.0
26,2.0,2.0,0.02,19073.0,1350.0,235000.0,2017.0,39.983259,-75.429241,17.0
27,3.0,3.0,0.04,19073.0,2240.0,445000.0,2004.0,39.983259,-75.429241,17.0
28,3.0,2.0,0.19,19073.0,1362.0,339900.0,2008.0,39.983259,-75.429241,17.0
29,3.0,2.0,0.54,19073.0,1824.0,500000.0,1987.0,39.983259,-75.429241,17.0
31,2.0,1.0,0.07,19073.0,1358.0,389000.0,2007.0,39.983259,-75.429241,17.0
32,3.0,3.0,0.93,19073.0,2430.0,675000.0,2019.0,39.983259,-75.429241,17.0
33,4.0,4.0,1.38,19073.0,2780.0,824900.0,1983.0,39.983259,-75.429241,17.0
35,3.0,2.0,0.17,19073.0,1510.0,399900.0,2019.0,39.983259,-75.429241,17.0
36,4.0,4.0,0.05,19073.0,4800.0,699000.0,2014.0,39.983259,-75.429241,17.0
37,2.0,2.0,0.02,19073.0,1438.0,325000.0,2014.0,39.983259,-75.429241,17.0
38,3.0,2.0,0.17,19073.0,1619.0,435000.0,2014.0,39.983259,-75.429241,17.0
39,3.0,3.0,0.04,19073.0,2593.0,525000.0,2018.0,39.983259,-75.429241,17.0
40,3.0,3.0,0.3,19073.0,3292.0,865000.0,2019.0,39.983259,-75.429241,17.0
42,1.0,1.0,0.02,19073.0,910.0,189999.0,2020.0,39.983259,-75.429241,17.0
43,4.0,3.0,0.13,19073.0,3566.0,707228.0,1999.0,39.983259,-75.429241,17.0
46,5.0,4.0,0.02,19073.0,3500.0,695000.0,2007.0,39.983259,-75.429241,17.0
47,4.0,2.0,0.19,19073.0,1810.0,479900.0,1993.0,39.983259,-75.429241,17.0
48,3.0,4.0,0.21,19073.0,3162.0,649900.0,2016.0,39.983259,-75.429241,17.0
49,2.0,2.0,0.02,19073.0,1050.0,160000.0,2000.0,39.983259,-75.429241,17.0
50,2.0,1.0,1.0,19073.0,1148.0,549900.0,2018.0,39.983259,-75.429241,17.0
51,4.0,3.0,0.11,19073.0,3079.0,589000.0,1996.0,39.983259,-75.429241,17.0
52,3.0,3.0,0.16,19073.0,1825.0,474900.0,2021.0,39.983259,-75.429241,17.0
53,4.0,1.0,0.54,19073.0,1176.0,400000.0,2015.0,39.983259,-75.429241,17.0
88,3.0,3.0,0.03,19073.0,2211.0,380000.0,1996.0,39.983259,-75.429241,17.0
89,4.0,3.0,0.81,19073.0,2576.0,819900.0,2021.0,39.983259,-75.429241,17.0
90,3.0,3.0,0.03,19073.0,2402.0,345000.0,2018.0,39.983259,-75.429241,17.0
91,4.0,3.0,0.64,19073.0,3000.0,729900.0,2006.0,39.983259,-75.429241,17.0
92,4.0,4.0,1.17,19073.0,3269.0,725000.0,1996.0,39.983259,-75.429241,17.0
100,3.0,2.0,10.0,19073.0,1152.0,1295000.0,2013.0,39.983259,-75.429241,17.0
103,5.0,5.0,1.36,19073.0,3082.0,799000.0,1986.0,39.983259,-75.429241,17.0
109,2.0,3.0,0.02,19073.0,1632.0,564900.0,2008.0,39.983259,-75.429241,17.0
112,3.0,3.0,0.07,19073.0,2220.0,450000.0,2021.0,39.983259,-75.429241,17.0
114,4.0,4.0,0.7,19073.0,4447.0,925000.0,2018.0,39.983259,-75.429241,17.0
118,4.0,3.0,1.05,19073.0,3200.0,749900.0,1982.0,39.983259,-75.429241,17.0
120,3.0,3.0,0.03,19073.0,3505.0,685000.0,2012.0,39.983259,-75.429241,17.0
123,3.0,2.0,0.85,18302.0,1509.0,139995.0,2020.0,41.09655,-75.111107,19.0
135,3.0,3.0,0.04,18302.0,2091.0,215000.0,2006.0,41.09655,-75.111107,19.0
136,3.0,2.0,0.01,18302.0,1380.0,129000.0,1978.0,41.09655,-75.111107,19.0
140,3.0,2.0,0.57,18302.0,2080.0,209000.0,1992.0,41.09655,-75.111107,19.0
144,4.0,4.0,0.27,18302.0,2232.0,309963.0,2004.0,41.09655,-75.111107,19.0
148,2.0,2.0,0.01,18302.0,1782.0,119900.0,2017.0,41.09655,-75.111107,19.0
149,3.0,4.0,0.29,18302.0,2815.0,350000.0,2007.0,41.09655,-75.111107,19.0
